z,Dehalococcoides_BAV1_uid58477,Dehalococcoides_ethenogenes_195_uid57763
s391,NC_009455.1: complement(401580..402353),NC_002936.3: 380475..381395
s392,NC_009455.1: complement(402553..403392),NC_002936.3: 381395..381997
s393,NC_009455.1: 404163..405113,NC_002936.3: 382126..382857
s394,NC_009455.1: 405135..405794,NC_002936.3: 382877..383752
s395,NC_009455.1: 405815..406591,NC_002936.3: 383746..384600
s396,NC_009455.1: 406594..407097,NC_002936.3: 384656..385153
s397,NC_009455.1: 407134..408672,NC_002936.3: complement(385230..385469)
s398,NC_009455.1: 408676..409467,NC_002936.3: complement(385554..386363)
s399,NC_009455.1: 409570..410751,NC_002936.3: complement(386350..387606)
s400,NC_009455.1: 410839..413481,NC_002936.3: 387687..388604
s401,NC_009455.1: complement(413478..414551),NC_002936.3: 388601..389368
s402,NC_009455.1: complement(414532..415230),NC_002936.3: 389417..389968
s403,NC_009455.1: complement(415333..416016),NC_002936.3: 389965..390438
s404,NC_009455.1: complement(416041..418899),NC_002936.3: 390526..391431
s405,NC_009455.1: complement(418903..419877),NC_002936.3: complement(391497..392009)
s406,NC_009455.1: complement(419893..421140),NC_002936.3: 392224..392511
s407,NC_009455.1: 421274..421894,NC_002936.3: complement(392594..393355)
s408,NC_009455.1: 421901..423556,NC_002936.3: complement(393355..394176)
s409,NC_009455.1: 423576..426026,NC_002936.3: complement(394234..395016)
s410,NC_009455.1: complement(426065..426214),NC_002936.3: complement(395060..395170)
s411,NC_009455.1: complement(426211..428205),NC_002936.3: complement(395219..396058)
s412,NC_009455.1: complement(428251..428835),NC_002936.3: complement(396513..396632)
s413,NC_009455.1: complement(428832..429335),NC_002936.3: 396762..397712
s414,NC_009455.1: complement(429339..430094),NC_002936.3: 397734..398393
s415,NC_009455.1: complement(430211..430570),NC_002936.3: 398414..399190
s416,NC_009455.1: complement(430612..431076),NC_002936.3: 399337..400875
s417,NC_009455.1: 431313..432863,NC_002936.3: 400891..401667
s418,NC_009455.1: 432844..434139,NC_002936.3: 401769..402950
s419,NC_009455.1: 434139..434642,NC_002936.3: 403040..405682
s420,NC_009455.1: 434657..435736,NC_002936.3: complement(405679..406752)
s421,NC_009455.1: 435816..436739,NC_002936.3: complement(406733..407431)
s422,NC_009455.1: 436762..437133,NC_002936.3: complement(407534..408217)
s423,NC_009455.1: 437134..437976,NC_002936.3: complement(408241..411099)
s424,NC_009455.1: 437976..438545,NC_002936.3: complement(411103..412077)
s425,NC_009455.1: 438547..438888,NC_002936.3: complement(412092..413339)
s426,NC_009455.1: complement(438885..439415),NC_002936.3: 413523..414092
s427,NC_009455.1: complement(439432..439908),NC_002936.3: 414099..415754
s428,NC_009455.1: complement(439892..440746),NC_002936.3: 415774..418218
s429,NC_009455.1: complement(440818..441141),NC_002936.3: complement(418268..418408)
s430,NC_009455.1: complement(441231..442097),NC_002936.3: complement(418392..420398)
s431,NC_009455.1: complement(442094..443170),NC_002936.3: complement(420444..421028)
s432,NC_009455.1: complement(443167..444261),NC_002936.3: complement(421030..421527)
s433,NC_009455.1: complement(444254..445516),NC_002936.3: complement(421531..422286)
s434,NC_009455.1: complement(445497..446027),NC_002936.3: complement(422402..422761)
s435,NC_009455.1: complement(446011..446871),NC_002936.3: complement(422803..423267)
s436,NC_009455.1: complement(446855..447523),NC_002936.3: 423507..425057
s437,NC_009455.1: complement(447520..448599),NC_002936.3: 425080..426333
s438,NC_009455.1: complement(448619..449674),NC_002936.3: 426333..426836
s439,NC_009455.1: 449929..450048,NC_002936.3: 426851..427930
s440,NC_009455.1: 450195..450629,NC_002936.3: 428007..428930
s441,NC_009455.1: 450643..451113,NC_002936.3: 428953..429324
s442,NC_009455.1: 451169..453250,NC_002936.3: 429325..430167
s443,NC_009455.1: 453275..453583,NC_002936.3: 430164..430730
s444,NC_009455.1: 453592..454209,NC_002936.3: 430732..431073
s445,NC_009455.1: 454212..454844,NC_002936.3: complement(431070..431600)
s446,NC_009455.1: 454857..455141,NC_002936.3: complement(431619..432095)
s447,NC_009455.1: 455167..455991,NC_002936.3: complement(432079..432933)
s448,NC_009455.1: 455998..456279,NC_002936.3: complement(433005..433328)
s449,NC_009455.1: 456310..456639,NC_002936.3: complement(433421..434284)
s450,NC_009455.1: 456648..457484,NC_002936.3: complement(434281..435357)
s451,NC_009455.1: 457486..457935,NC_002936.3: complement(435354..436448)
s452,NC_009455.1: 457937..458134,NC_002936.3: complement(436441..437703)
s453,NC_009455.1: 458142..458414,NC_002936.3: complement(437684..438214)
s454,NC_009455.1: 458430..458798,NC_002936.3: complement(438198..439058)
s455,NC_009455.1: 458809..459120,NC_002936.3: complement(439042..439710)
s456,NC_009455.1: 459120..459659,NC_002936.3: complement(439707..440786)
s457,NC_009455.1: 459668..459853,NC_002936.3: complement(440806..441861)
s458,NC_009455.1: 459887..460282,NC_002936.3: 442098..442214
s459,NC_009455.1: 460298..460846,NC_002936.3: 442383..442817
s460,NC_009455.1: 460846..461211,NC_002936.3: 442831..443301
s461,NC_009455.1: 461228..461746,NC_002936.3: 443357..445438
s462,NC_009455.1: 461739..461921,NC_002936.3: 445463..445771
s463,NC_009455.1: 461921..462382,NC_002936.3: 445780..446397
s464,NC_009455.1: 462363..463679,NC_002936.3: 446400..447032
s465,NC_009455.1: 463689..464339,NC_002936.3: 447045..447329
s466,NC_009455.1: 464347..465102,NC_002936.3: 447355..448179
s467,NC_009455.1: 465112..465333,NC_002936.3: 448186..448467
s468,NC_009455.1: 465362..465475,NC_002936.3: 448498..448827
s469,NC_009455.1: 465485..465874,NC_002936.3: 448836..449672
s470,NC_009455.1: 465900..466292,NC_002936.3: 449674..450123
s471,NC_009455.1: 466332..466925,NC_002936.3: 450125..450322
s472,NC_009455.1: 466946..467938,NC_002936.3: 450330..450590
s473,NC_009455.1: 467969..468322,NC_002936.3: 450615..450983
s474,NC_009455.1: 468359..469099,NC_002936.3: 450994..451305
s475,NC_009455.1: 469101..469532,NC_002936.3: 451305..451844
s476,NC_009455.1: 469545..469943,NC_002936.3: 451853..452038
s477,NC_009455.1: complement(470019..470213),NC_002936.3: 452072..452467
s478,NC_009455.1: complement(470610..471677),NC_002936.3: 452483..453031
s479,NC_009455.1: complement(471702..472946),NC_002936.3: 453031..453396
s480,NC_009455.1: complement(473113..473316),NC_002936.3: 453413..453931
s481,NC_009455.1: complement(473347..474567),NC_002936.3: 453924..454106
s482,NC_009455.1: complement(474577..475833),NC_002936.3: 454107..454568
s483,NC_009455.1: complement(475841..477403),NC_002936.3: 454549..455865
s484,NC_009455.1: complement(477403..477603),NC_002936.3: 455875..456525
s485,NC_009455.1: complement(477600..478631),NC_002936.3: 456533..457288
s486,NC_009455.1: complement(478624..479508),NC_002936.3: 457298..457519
s487,NC_009455.1: complement(479583..480581),NC_002936.3: 457548..457661
s488,NC_009455.1: complement(480583..481680),NC_002936.3: 457671..458060
s489,NC_009455.1: complement(481677..482627),NC_002936.3: 458086..458478
s490,NC_009455.1: 482721..483143,NC_002936.3: 458488..459111
s491,NC_009455.1: 483140..483553,NC_002936.3: 459132..460124
s492,NC_009455.1: complement(483540..484100),NC_002936.3: 460155..460508
s493,NC_009455.1: complement(484104..485054),NC_002936.3: 460538..461284
s494,NC_009455.1: complement(485054..485884),NC_002936.3: 461286..461717
s495,NC_009455.1: complement(485898..487199),NC_002936.3: 461730..462128
s496,NC_009455.1: complement(487201..488577),NC_002936.3: complement(462206..462400)
s497,NC_009455.1: 488715..490007,NC_002936.3: complement(462547..462642)
s498,NC_009455.1: 490009..491211,NC_002936.3: complement(462708..463775)
s499,NC_009455.1: 491229..492410,NC_002936.3: complement(463800..465227)
s500,NC_009455.1: 492411..494192,NC_002936.3: complement(465211..465414)
s501,NC_009455.1: complement(494200..494652),NC_002936.3: complement(465447..466667)
s502,NC_009455.1: complement(494664..495368),NC_002936.3: complement(466677..467933)
s503,NC_009455.1: 495507..496811,NC_002936.3: complement(467941..469503)
s504,NC_009455.1: 496825..497856,NC_002936.3: complement(469503..469703)
s505,NC_009455.1: 497849..498682,NC_002936.3: complement(469700..470728)
s506,NC_009455.1: complement(498671..499201),NC_002936.3: complement(470721..471605)
s507,NC_009455.1: complement(499273..500682),NC_002936.3: complement(471674..472678)
s508,NC_009455.1: complement(500606..501316),NC_002936.3: complement(472680..473777)
s509,NC_009455.1: complement(501313..502689),NC_002936.3: complement(473774..474724)
s510,NC_009455.1: complement(502690..503145),NC_002936.3: 474796..475239
s511,NC_009455.1: complement(503215..504135),NC_002936.3: 475236..475649
s512,NC_009455.1: complement(504116..505159),NC_002936.3: complement(475636..476196)
s513,NC_009455.1: complement(505199..506050),NC_002936.3: complement(476201..477151)
s514,NC_009455.1: complement(506076..507269),NC_002936.3: complement(477151..477981)
s515,NC_009455.1: 507483..510317,NC_002936.3: complement(477995..479296)
s516,NC_009455.1: 510391..510942,NC_002936.3: complement(479298..480674)
s517,NC_009455.1: 511051..511254,NC_002936.3: 480812..482104
s518,NC_009455.1: complement(511251..513830),NC_002936.3: 482106..483308
s519,NC_009455.1: complement(514001..515563),NC_002936.3: 483324..484505
s520,NC_009455.1: complement(515564..517330),NC_002936.3: 484507..486288
s521,NC_009455.1: complement(517332..518369),NC_002936.3: complement(486296..486748)
s522,NC_009455.1: complement(518366..520642),NC_002936.3: complement(486760..487464)
s523,NC_009455.1: 520940..521509,NC_002936.3: 487604..488908
s524,NC_009455.1: 521567..521800,NC_002936.3: 488923..489942
s525,NC_009455.1: 521803..522747,NC_002936.3: 489945..490778
s526,NC_009455.1: 522788..523018,NC_002936.3: complement(490764..491297)
s527,NC_009455.1: 523043..523552,NC_002936.3: complement(491369..492649)
s528,NC_009455.1: 523573..524115,NC_002936.3: complement(492705..493415)
s529,NC_009455.1: 524138..525649,NC_002936.3: complement(493412..494788)
s530,NC_009455.1: 525674..526531,NC_002936.3: complement(494789..495244)
s531,NC_009455.1: 526547..527941,NC_002936.3: complement(495314..496234)
s532,NC_009455.1: 527966..528388,NC_002936.3: complement(496215..497258)
s533,NC_009455.1: complement(528463..528963),NC_002936.3: complement(497298..498149)
s534,NC_009455.1: complement(529051..529278),NC_002936.3: complement(498174..499367)
s535,NC_009455.1: complement(529294..529542),NC_002936.3: 499589..502429
s536,NC_009455.1: 529687..530358,NC_002936.3: 502495..503046
s537,NC_009455.1: 530485..531555,NC_002936.3: 503156..503359
s538,NC_009455.1: 531555..532781,NC_002936.3: complement(503356..505935)
s539,NC_009455.1: 532765..533451,NC_002936.3: 506011..506130
s540,NC_009455.1: 533451..535046,NC_002936.3: complement(506110..507672)
s541,NC_009455.1: complement(535524..535883),NC_002936.3: complement(507673..509445)
s542,NC_009455.1: complement(536065..537207),NC_002936.3: complement(509447..510484)
s543,NC_009455.1: complement(537223..538464),NC_002936.3: complement(510481..512757)
s544,NC_009455.1: complement(538496..539992),NC_002936.3: complement(513481..513648)
s545,NC_009455.1: 540168..540401,NC_002936.3: 513683..513916
s546,NC_009455.1: complement(540415..541176),NC_002936.3: 513919..514863
s547,NC_009455.1: complement(541177..541272),NC_002936.3: 514904..515134
s548,NC_009455.1: complement(541275..541997),NC_002936.3: 515159..515668
s549,NC_009455.1: complement(541999..543063),NC_002936.3: 515689..516231
s550,NC_009455.1: complement(543102..543716),NC_002936.3: 516254..517765
s551,NC_009455.1: complement(543738..544031),NC_002936.3: 517790..518647
s552,NC_009455.1: complement(544047..545759),NC_002936.3: 518663..520057
s553,NC_009455.1: complement(545860..546111),NC_002936.3: 520082..520504
s554,NC_009455.1: complement(546142..546564),NC_002936.3: complement(520575..521078)
s555,NC_009455.1: complement(546580..546864),NC_002936.3: complement(521166..521393)
s556,NC_009455.1: complement(546864..547238),NC_002936.3: complement(521409..521657)
s557,NC_009455.1: complement(547445..548623),NC_002936.3: 521809..522474
s558,NC_009455.1: complement(548711..549718),NC_002936.3: join(522589..522645
s559	NC_009455.1: complement(549740..550759)	NC_002937.3: 628675..629499	522647..523678)
s560,NC_009455.1: complement(550756..551574),NC_002936.3: 523675..524901
s561,NC_009455.1: complement(551590..552876),NC_002936.3: 524903..525571
s562,NC_009455.1: complement(552895..553383),NC_002936.3: 525574..527166
s563,NC_009455.1: complement(553422..553991),NC_002936.3: complement(527537..527821)
s564,NC_009455.1: complement(553991..556033),NC_002936.3: complement(528044..529195)
s565,NC_009455.1: 556169..557497,NC_002936.3: complement(529182..530423)
s566,NC_009455.1: complement(557568..558155),NC_002936.3: complement(530455..531951)
s567,NC_009455.1: complement(558230..559810),NC_002936.3: 532182..532352
s568,NC_009455.1: complement(559812..560900),NC_002936.3: complement(532376..533137)
s569,NC_009455.1: complement(560960..562150),NC_002936.3: complement(533267..533989)
s570,NC_009455.1: complement(562157..563074),NC_002936.3: complement(533991..535055)
s571,NC_009455.1: 563580..567302,NC_002936.3: complement(535094..535708)
s572,NC_009455.1: 567403..571176,NC_002936.3: complement(535729..536028)
s573,NC_009455.1: 571383..572432,NC_002936.3: complement(536038..537717)
s574,NC_009455.1: 572422..572970,NC_002936.3: complement(537774..537929)
s575,NC_009455.1: 573047..573688,NC_002936.3: complement(537963..538385)
s576,NC_009455.1: complement(573705..573932),NC_002936.3: complement(538685..539059)
s577,NC_009455.1: complement(573997..574536),NC_002936.3: complement(539264..540442)
s578,NC_009455.1: complement(574565..575239),NC_002936.3: complement(540536..541540)
s579,NC_009455.1: 575283..576662,NC_002936.3: complement(541562..542581)
s580,NC_009455.1: 576878..577816,NC_002936.3: complement(542595..542693)
s581,NC_009455.1: 577848..579287,NC_002936.3: complement(542721..544007)
s582,NC_009455.1: 579290..579793,NC_002936.3: complement(544026..544505)
s583,NC_009455.1: complement(579790..580095),NC_002936.3: complement(544553..545122)
s584,NC_009455.1: complement(580113..580652),NC_002936.3: complement(545122..547155)
s585,NC_009455.1: complement(580654..581376),NC_002936.3: 547300..548628
s586,NC_009455.1: 581439..582578,NC_002936.3: complement(548701..549288)
s587,NC_009455.1: 582599..583087,NC_002936.3: complement(549361..550941)
s588,NC_009455.1: 583285..584034,NC_002936.3: complement(550943..552031)
s589,NC_009455.1: 584035..585834,NC_002936.3: complement(552091..553281)
s590,NC_009455.1: complement(585831..586835),NC_002936.3: complement(553288..554205)
s591,NC_009455.1: complement(586865..589423),NC_002936.3: 554608..558426
s592,NC_009455.1: complement(589599..589940),NC_002936.3: 558413..562300
s593,NC_009455.1: 590013..591278,NC_002936.3: complement(562272..562415)
s594,NC_009455.1: 591420..592739,NC_002936.3: 562474..563523
s595,NC_009455.1: 592711..593727,NC_002936.3: 563513..564061
s596,NC_009455.1: 593858..594289,NC_002936.3: 564136..564777
s597,NC_009455.1: 594286..595158,NC_002936.3: complement(564795..565022)
s598,NC_009455.1: 595161..595925,NC_002936.3: complement(565087..565626)
s599,NC_009455.1: 595922..596767,NC_002936.3: complement(565655..566329)
s600,NC_009455.1: complement(596791..597141),NC_002936.3: 566373..567752
s601,NC_009455.1: complement(597257..598387),NC_002936.3: 567776..567868
s602,NC_009455.1: complement(598420..599622),NC_002936.3: 567965..568903
s603,NC_009455.1: complement(599680..599889),NC_002936.3: 568933..570372
s604,NC_009455.1: 600128..600817,NC_002936.3: 570375..570878
s605,NC_009455.1: 600974..601837,NC_002936.3: complement(570875..571180)
s606,NC_009455.1: 601891..602520,NC_002936.3: complement(571197..571733)
s607,NC_009455.1: 602521..603183,NC_002936.3: complement(571735..572436)
s608,NC_009455.1: complement(603180..603638),NC_002936.3: 572520..573659
s609,NC_009455.1: complement(603631..605631),NC_002936.3: 573681..574169
s610,NC_009455.1: complement(605683..606192),NC_002936.3: 574360..575109
s611,NC_009455.1: 606318..607160,NC_002936.3: 575110..576909
s612,NC_009455.1: 607302..607931,NC_002936.3: complement(576906..577910)
s613,NC_009455.1: 608537..609550,NC_002936.3: complement(577937..580498)
s614,NC_009455.1: 609606..610697,NC_002936.3: complement(580653..580985)
s615,NC_009455.1: 610709..611536,NC_002936.3: 580984..582333
s616,NC_009455.1: 611526..612296,NC_002936.3: 582476..583795
s617,NC_009455.1: 612299..613225,NC_002936.3: 583767..584783
s618,NC_009455.1: 613209..614315,NC_002936.3: 584917..585348
s619,NC_009455.1: 614688..615746,NC_002936.3: 585345..586217
s620,NC_009455.1: 615786..616550,NC_002936.3: 586220..586984
s621,NC_009455.1: 616569..617171,NC_002936.3: 586981..587802
s622,NC_009455.1: 617224..617790,NC_002936.3: complement(587799..587936)
s623,NC_009455.1: complement(617866..618189),NC_002936.3: complement(587852..588202)
s624,NC_009455.1: complement(618359..619504),NC_002936.3: complement(588319..589449)
s625,NC_009455.1: complement(619521..620195),NC_002936.3: complement(589482..590684)
s626,NC_009455.1: complement(620265..620909),NC_002936.3: complement(590745..590954)
s627,NC_009455.1: complement(620941..622287),NC_002936.3: 591194..591883
s628,NC_009455.1: complement(622308..624509),NC_002936.3: 592044..592907
s629,NC_009455.1: complement(624569..625510),NC_002936.3: 592961..593587
s630,NC_009455.1: complement(625546..626436),NC_002936.3: 593592..594254
s631,NC_009455.1: complement(626436..627218),NC_002936.3: complement(594251..594709)
s632,NC_009455.1: complement(627215..629137),NC_002936.3: complement(594702..596702)
s633,NC_009455.1: complement(629175..630992),NC_002936.3: complement(596747..597262)
s634,NC_009455.1: 631099..631680,NC_002936.3: 597389..598231
s635,NC_009455.1: 631799..631978,NC_002936.3: 598326..598493
s636,NC_009455.1: 632055..633851,NC_002936.3: 598583..598999
s637,NC_009455.1: 633871..635214,NC_002936.3: complement(599284..599463)
s638,NC_009455.1: 635211..635813,NC_002936.3: 599608..600624
s639,NC_009455.1: complement(635894..636880),NC_002936.3: 600763..601767
s640,NC_009455.1: complement(636882..637703),NC_002936.3: 601779..602603
s641,NC_009455.1: complement(637706..638365),NC_002936.3: 602593..603363
s642,NC_009455.1: complement(638368..638928),NC_002936.3: 603365..604291
s643,NC_009455.1: complement(638944..640035),NC_002936.3: 604275..605381
s644,NC_009455.1: complement(640032..640955),NC_002936.3: complement(605514..605723)
s645,NC_009455.1: complement(640956..643067),NC_002936.3: 605751..606809
s646,NC_009455.1: complement(643074..644195),NC_002936.3: 606847..607611
s647,NC_009455.1: 644691..644885,NC_002936.3: 607631..608233
s648,NC_009455.1: 644964..646238,NC_002936.3: 608287..608853
s649,NC_009455.1: 646380..646952,NC_002936.3: complement(608931..609254)
s650,NC_009455.1: 646945..647241,NC_002936.3: complement(609345..610490)
s651,NC_009455.1: 647241..648413,NC_002936.3: complement(610507..611181)
s652,NC_009455.1: 648413..649354,NC_002936.3: complement(611252..611896)
s653,NC_009455.1: 649330..649803,NC_002936.3: complement(611915..613261)
s654,NC_009455.1: 649803..651674,NC_002936.3: complement(613282..615483)
s655,NC_009455.1: 652634..653323,NC_002936.3: complement(615543..616484)
s656,NC_009455.1: 653485..654954,NC_002936.3: complement(616520..617410)
s657,NC_009455.1: 655214..655600,NC_002936.3: complement(617410..618192)
s658,NC_009455.1: complement(655779..656576),NC_002936.3: complement(618189..620111)
s659,NC_009455.1: 656721..657932,NC_002936.3: complement(620149..621942)
s660,NC_009455.1: 657936..658148,NC_002936.3: 622072..622653
s661,NC_009455.1: complement(658776..659942),NC_002936.3: 622772..622951
s662,NC_009455.1: complement(659929..660783),NC_002936.3: 623028..623918
s663,NC_009455.1: complement(660770..661756),NC_002936.3: 623972..624598
s664,NC_009455.1: complement(661818..662579),NC_002936.3: 624603..625265
s665,NC_009455.1: complement(662591..663796),NC_002936.3: complement(625262..625720)
s666,NC_009455.1: complement(663789..664982),NC_002936.3: complement(625713..627713)
s667,NC_009455.1: complement(665082..666983),NC_002936.3: complement(627758..628273)
s668,NC_009455.1: 667147..667698,NC_002936.3: 628400..629242
s669,NC_009455.1: complement(668208..669608),NC_002936.3: 629337..629504
s670,NC_009455.1: complement(669721..670080),NC_002936.3: 629594..630010
s671,NC_009455.1: complement(670099..670302),NC_002936.3: complement(630295..630474)
s672,NC_009455.1: complement(670295..670768),NC_002936.3: 630619..631635
s673,NC_009455.1: complement(670919..672667),NC_002936.3: 631774..632778
s674,NC_009455.1: complement(672793..675324),NC_002936.3: 632790..633614
s675,NC_009455.1: complement(675466..676872),NC_002936.3: 633604..634374
s676,NC_009455.1: 677558..677926,NC_002936.3: 634376..635302
s677,NC_009455.1: 677937..678599,NC_002936.3: 635286..636392
s678,NC_009455.1: complement(678596..679255),NC_002936.3: complement(636525..636734)
s679,NC_009455.1: complement(679279..679782),NC_002936.3: 636762..637820
s680,NC_009455.1: complement(680068..680871),NC_002936.3: 637858..638622
s681,NC_009455.1: complement(680929..681330),NC_002936.3: 638642..639244
s682,NC_009455.1: complement(681340..681999),NC_002936.3: 639298..639864
s683,NC_009455.1: 682212..682376,NC_002936.3: complement(639942..640265)
s684,NC_009455.1: complement(682448..684574),NC_002936.3: complement(641519..642193)
s685,NC_009455.1: 684764..684994,NC_002936.3: complement(642264..642908)
s686,NC_009455.1: complement(685062..685391),NC_002936.3: complement(642927..644273)
s687,NC_009455.1: complement(685463..686602),NC_002936.3: complement(644294..646495)
s688,NC_009455.1: complement(686629..687429),NC_002936.3: complement(646555..647496)
s689,NC_009455.1: complement(687460..688641),NC_002936.3: complement(647532..648422)
s690,NC_009455.1: 688740..688976,NC_002936.3: complement(648422..649204)
s691,NC_009455.1: complement(688965..689705),NC_002936.3: complement(649201..651123)
s692,NC_009455.1: complement(689698..690810),NC_002936.3: complement(651161..652954)
s693,NC_009455.1: complement(690846..692141),NC_002936.3: 653084..653665
s694,NC_009455.1: 692306..693076,NC_002936.3: 653784..653963
s695,NC_009455.1: 693295..694824,NC_002936.3: 654040..655836
s696,NC_009455.1: 694827..695453,NC_002936.3: 655856..657202
s697,NC_009455.1: 695434..696519,NC_002936.3: 657199..657801
s698,NC_009455.1: 696521..697159,NC_002936.3: complement(657884..658870)
s699,NC_009455.1: 697149..697514,NC_002936.3: complement(658872..659693)
s700,NC_009455.1: 697550..698608,NC_002936.3: complement(659696..660355)
s701,NC_009455.1: 698601..699254,NC_002936.3: complement(660358..660918)
s702,NC_009455.1: 699259..701298,NC_002936.3: complement(660934..662022)
s703,NC_009455.1: complement(701311..701964),NC_002936.3: complement(662019..662942)
s704,NC_009455.1: 702035..702580,NC_002936.3: complement(662943..665054)
s705,NC_009455.1: 702587..703918,NC_002936.3: complement(665061..666281)
s706,NC_009455.1: 703932..705179,NC_002936.3: 666697..666828
s707,NC_009455.1: 705203..705952,NC_002936.3: 666888..668171
s708,NC_009455.1: complement(705945..706679),NC_002936.3: 668313..668885
s709,NC_009455.1: complement(706679..708394),NC_002936.3: 668914..669174
s710,NC_009455.1: complement(708378..708914),NC_002936.3: 669174..670346
s711,NC_009455.1: 709211..709876,NC_002936.3: 670346..671287
s712,NC_009455.1: 709971..710888,NC_002936.3: 671263..671742
s713,NC_009455.1: 710885..711967,NC_002936.3: 671735..673606
s714,NC_009455.1: complement(712050..713081),NC_002936.3: 673619..674287
s715,NC_009455.1: 713244..714041,NC_002936.3: 674884..676353
s716,NC_009455.1: 714175..714729,NC_002936.3: 676613..676999
s717,NC_009455.1: 714897..715754,NC_002936.3: complement(677162..677956)
s718,NC_009455.1: 715768..716151,NC_002936.3: 678172..679314
s719,NC_009455.1: 716154..716993,NC_002936.3: 679324..679527
s720,NC_009455.1: 716981..717814,NC_002936.3: complement(680145..681311)
s721,NC_009455.1: complement(717811..719073),NC_002936.3: complement(681298..682152)
s722,NC_009455.1: complement(719073..719372),NC_002936.3: complement(682149..683126)
s723,NC_009455.1: 720035..721537,NC_002936.3: complement(683187..683942)
s724,NC_009455.1: complement(721534..722124),NC_002936.3: complement(683954..685141)
s725,NC_009455.1: 722341..723087,NC_002936.3: complement(685152..686345)
s726,NC_009455.1: 723080..723805,NC_002936.3: complement(686446..688389)
s727,NC_009455.1: 723905..724660,NC_002936.3: 688537..689070
s728,NC_009455.1: 724642..725877,NC_002936.3: 689291..689479
s729,NC_009455.1: complement(725946..726737),NC_002936.3: complement(689569..690093)
s730,NC_009455.1: complement(727013..727666),NC_002936.3: complement(691099..691458)
s731,NC_009455.1: complement(727678..728385),NC_002936.3: complement(691477..691680)
s732,NC_009455.1: complement(728394..728984),NC_002936.3: complement(691673..692179)
s733,NC_009455.1: 729087..729503,NC_002936.3: complement(692297..694045)
s734,NC_009455.1: 729513..730973,NC_002936.3: complement(694172..696703)
s735,NC_009455.1: 731019..731588,NC_002936.3: complement(696844..698250)
s736,NC_009455.1: complement(731593..733194),NC_002936.3: 698843..699211
s737,NC_009455.1: complement(733201..734298),NC_002936.3: 699222..699884
s738,NC_009455.1: complement(734299..734799),NC_002936.3: complement(699881..700540)
s739,NC_009455.1: complement(734871..736121),NC_002936.3: complement(700563..701066)
s740,NC_009455.1: complement(736142..736543),NC_002936.3: complement(701352..702155)
s741,NC_009455.1: complement(736559..738076),NC_002936.3: complement(702208..702609)
s742,NC_009455.1: complement(738252..739250),NC_002936.3: complement(702619..703278)
s743,NC_009455.1: complement(739269..739805),NC_002936.3: 703491..703655
s744,NC_009455.1: complement(739781..741490),NC_002936.3: complement(703728..705854)
s745,NC_009455.1: complement(741512..743179),NC_002936.3: 706040..706270
s746,NC_009455.1: complement(743280..743921),NC_002936.3: complement(706346..706675)
s747,NC_009455.1: 744072..745754,NC_002936.3: complement(706749..707891)
s748,NC_009455.1: 745761..746072,NC_002936.3: complement(707921..708391)
s749,NC_009455.1: 747360..747824,NC_002936.3: complement(708749..709888)
s750,NC_009455.1: 747821..749176,NC_002936.3: 710019..710255
s751,NC_009455.1: 749177..750091,NC_002936.3: complement(710244..710984)
s752,NC_009455.1: complement(750166..750756),NC_002936.3: complement(710977..712089)
s753,NC_009455.1: complement(750758..751834),NC_002936.3: complement(712126..713421)
s754,NC_009455.1: complement(751847..753157),NC_002936.3: 713595..714356
s755,NC_009455.1: complement(753164..754570),NC_002936.3: 714569..716098
s756,NC_009455.1: complement(754563..755801),NC_002936.3: 716102..716725
s757,NC_009455.1: 755942..756232,NC_002936.3: 716722..717795
s758,NC_009455.1: 756233..757036,NC_002936.3: 717797..718432
s759,NC_009455.1: complement(757106..757894),NC_002936.3: 718422..718787
s760,NC_009455.1: 757985..758539,NC_002936.3: 718823..719881
s761,NC_009455.1: 758578..759474,NC_002936.3: 719895..720527
s762,NC_009455.1: 759467..760684,NC_002936.3: 720532..722571
s763,NC_009455.1: 760930..761145,NC_002936.3: complement(722584..723201)
s764,NC_009455.1: 761192..761407,NC_002936.3: 723272..723853
s765,NC_009455.1: 761724..762947,NC_002936.3: 723890..725191
s766,NC_009455.1: 762949..763659,NC_002936.3: 725205..726452
s767,NC_009455.1: 763672..764808,NC_002936.3: 726474..727223
s768,NC_009455.1: 764872..766689,NC_002936.3: complement(727216..727950)
s769,NC_009455.1: 766830..768776,NC_002936.3: complement(727950..729665)
s770,NC_009455.1: 768773..769621,NC_002936.3: complement(729649..730194)
s771,NC_009455.1: 769622..770089,NC_002936.3: 730338..731141
s772,NC_009455.1: 770082..770567,NC_002936.3: 731239..732156
s773,NC_009455.1: 770581..772503,NC_002936.3: 732216..733235
s774,NC_009455.1: 772503..773096,NC_002936.3: complement(733316..734347)
s775,NC_009455.1: 773099..774484,NC_002936.3: 734509..735306
s776,NC_009455.1: 774485..775564,NC_002936.3: complement(735303..735410)
s777,NC_009455.1: 775574..775918,NC_002936.3: complement(735412..735594)
s778,NC_009455.1: complement(776000..776929),NC_002936.3: 735677..736009
s779,NC_009455.1: complement(776935..777501),NC_002936.3: 736180..737037
s780,NC_009455.1: 777691..778176,NC_002936.3: 737060..737434
s781,NC_009455.1: 778181..781105,NC_002936.3: 737580..738287
s782,NC_009455.1: complement(781151..781795),NC_002936.3: 738293..739099
s783,NC_009455.1: complement(782301..782636),NC_002936.3: complement(739096..740349)
